datetime,symbol,open,high,low,close,volume
2011-09-05 09:00:00,BITSTAMP:BTCUSD,8.0,8.5,7.4,7.4,30.86
2011-09-12 09:00:00,BITSTAMP:BTCUSD,5.8,6.0,4.8,4.92,359.684968
2011-09-19 09:00:00,BITSTAMP:BTCUSD,4.9,6.05,4.9,6.05,294.17555858
2011-09-26 09:00:00,BITSTAMP:BTCUSD,6.06,6.06,4.8,4.82,193.95078914
2011-10-03 09:00:00,BITSTAMP:BTCUSD,4.85,6.25,3.89,3.89,619.30112175
2011-10-10 09:00:00,BITSTAMP:BTCUSD,3.99,4.51,3.93,4.05,496.70280366
2011-10-17 09:00:00,BITSTAMP:BTCUSD,3.92,3.92,2.22,2.27,113.67567266
2011-10-24 09:00:00,BITSTAMP:BTCUSD,2.99,4.4,2.66,3.5,786.29998902
2011-10-31 09:00:00,BITSTAMP:BTCUSD,3.25,3.55,2.95,2.95,531.75220235
2011-11-07 09:00:00,BITSTAMP:BTCUSD,3.08,3.35,2.95,3.35,325.71396942
2011-11-14 09:00:00,BITSTAMP:BTCUSD,2.95,3.0,2.37,2.37,451.68903078
2011-11-21 09:00:00,BITSTAMP:BTCUSD,2.45,15.0,2.25,2.77,818.04224926
2011-11-28 09:00:00,BITSTAMP:BTCUSD,2.67,3.48,2.66,2.93,623.40805645
2011-12-05 09:00:00,BITSTAMP:BTCUSD,2.82,3.5,2.82,3.27,942.46275173
2011-12-12 09:00:00,BITSTAMP:BTCUSD,3.37,3.6,3.25,3.5,437.13214799
2011-12-19 09:00:00,BITSTAMP:BTCUSD,3.5,4.75,3.5,4.27,459.81223274
2011-12-26 09:00:00,BITSTAMP:BTCUSD,4.27,5.0,4.21,5.0,360.58147902
2012-01-02 09:00:00,BITSTAMP:BTCUSD,5.0,7.0,4.93,7.0,348.29897511
2012-01-09 09:00:00,BITSTAMP:BTCUSD,6.99,7.38,6.23,7.15,399.32531445
2012-01-16 09:00:00,BITSTAMP:BTCUSD,6.2,7.1,5.52,6.79,731.83677615
2012-01-23 09:00:00,BITSTAMP:BTCUSD,6.5,6.86,3.8,5.5,393.19403684
2012-01-30 09:00:00,BITSTAMP:BTCUSD,5.3,6.5,3.8,5.6,659.76094088
2012-02-06 09:00:00,BITSTAMP:BTCUSD,5.6,5.9,5.2,5.67,605.4123901
2012-02-13 09:00:00,BITSTAMP:BTCUSD,5.53,5.8,4.14,4.38,1003.28654553
2012-02-20 09:00:00,BITSTAMP:BTCUSD,4.72,5.22,4.3,4.98,1662.84575012
2012-02-27 09:00:00,BITSTAMP:BTCUSD,4.97,5.1,4.6,4.81,1768.19657087
2012-03-05 09:00:00,BITSTAMP:BTCUSD,4.8,5.09,4.77,5.0,1931.06152748
2012-03-12 09:00:00,BITSTAMP:BTCUSD,4.85,5.44,4.85,5.25,3320.56154333
2012-03-19 09:00:00,BITSTAMP:BTCUSD,5.24,5.37,4.54,4.54,1700.83156356
2012-03-26 09:00:00,BITSTAMP:BTCUSD,4.6,4.97,4.54,4.89,1591.67646538
2012-04-02 09:00:00,BITSTAMP:BTCUSD,4.8,5.04,4.69,4.76,2971.01334483
2012-04-09 09:00:00,BITSTAMP:BTCUSD,4.7,5.01,4.7,4.99,3417.66511572
2012-04-16 09:00:00,BITSTAMP:BTCUSD,4.93,5.43,4.93,5.17,2986.45449335
2012-04-23 09:00:00,BITSTAMP:BTCUSD,5.2,5.25,4.81,4.91,6305.5544402
2012-04-30 09:00:00,BITSTAMP:BTCUSD,4.92,5.15,4.86,5.08,4888.3914138
2012-05-07 09:00:00,BITSTAMP:BTCUSD,5.05,5.08,4.87,4.94,3801.05673357
