Date,Open,High,Low,Close,Volume
2017-09-26,3928,3949,3918.54,3949,25.450772
2017-09-27,3882.36,3910,3872.81,3901,10.577018
2017-09-28,4192.11,4219.99,4152.02,4152.02,39.965421
2017-09-29,4178.98,4195.99,4170,4195.98,23.606841
2017-09-30,4175,4179.99,4138.1,4169.91,20.180843
2017-10-01,4378.49,4378.49,4337,4345.95,48.97065
2017-10-02,4400,4430,4380.01,4430,17.485013
2017-10-03,4380,4400,4361.01,4382.79,13.446639
2017-10-04,4314.9,4329.69,4283.01,4291.01,27.740279
2017-10-05,4208.59,4235,4197.04,4215,19.881657
2017-10-06,4318.99,4348,4292,4316.91,24.904678
2017-10-07,4369,4399,4369,4391.97,9.719826
2017-10-08,4425,4517,4425,4450,24.649483
2017-10-09,4640,4658,4608.01,4610,20.952918
2017-10-10,4786.95,4886,4780,4863,39.940067
2017-10-11,4783.06,4819.98,4745.62,4765.99,73.669591
2017-10-12,4821.43,4850,4810.16,4823.02,17.376505
2017-10-13,5439.99,5490,5407.74,5407.74,68.746239
2017-10-14,5650,5650.01,5624.01,5640.25,51.219537
2017-10-15,5855.03,5900,5855.03,5860.01,28.943729
2017-10-16,5710,5739.99,5690.05,5713.67,54.740741
2017-10-17,5760,5774.98,5726.97,5726.98,32.255686
2017-10-18,5595,5596,5520.25,5525.01,73.486726
2017-10-19,5513,5549.99,5490.26,5498.98,53.064236
2017-10-20,5683.31,5688,5665.06,5685.02,66.615974
2017-10-21,6013.72,6013.82,5960,5982.8,48.27011
2017-10-22,6003.27,6060,6003.27,6050.59,46.706542
2017-10-23,5975,5975,5940,5945.01,55.485208
2017-10-24,5909.47,5917.25,5800.01,5842.03,100.929764
2017-10-25,5506.92,5513,5459.08,5476.14,71.763397
2017-10-26,5670.1,5715.5,5670,5704,73.511857
2017-10-27,5861.77,5973.19,5861.76,5973.19,72.333929
2017-10-28,5768.79,5839.96,5768.79,5822.32,44.436989
2017-10-29,5709.98,5719.65,5681,5698.67,37.477454
2017-10-30,6133.01,6145.92,6100.07,6100.83,87.046059
2017-10-31,6120.52,6165.96,6120.52,6165.84,27.131425
2017-11-01,6463,6463.07,6375.05,6395,64.145894
2017-11-02,6753.98,6849,6730,6789.89,108.091653
2017-11-03,7010.31,7037.7,6941.48,6969.03,55.145214
2017-11-04,7115.02,7125,6999.37,7041.13,86.258679
2017-11-05,7357.27,7387.68,7280,7325.02,37.052894
2017-11-06,7345.1,7401,7300,7315.61,49.312826
2017-11-07,6981.72,7098.45,6909.01,7062,79.381147
2017-11-08,7070,7088.94,7035.02,7070,32.31694
2017-11-09,7303.01,7312.98,7130.01,7249.8,127.816594
2017-11-10,7079,7211.13,7050.01,7211.13,41.756561
2017-11-11,6503,6689,6453.03,6679.57,114.708744
2017-11-12,6245.05,6245.05,6160.05,6162.73,78.942255
2017-11-13,5839.94,6016.07,5799.01,6016.07,86.691092
2017-11-14,6465.99,6610.99,6465.99,6610.99,98.297038
2017-11-15,6575.99,6734.9,6575.99,6700,77.645684
2017-11-16,7240.14,7279.99,7175.1,7190.6,57.69315
2017-11-17,7876.98,7985,7848.08,7924.98,149.674697
2017-11-18,7680.01,7697.35,7549,7604.98,139.72678
2017-11-19,7761.94,7783.74,7750.66,7772,112.656192
2017-11-20,8057.11,8083.49,8035.53,8047.53,131.774163
2017-11-21,8212.49,8256.71,8208.9,8235.04,186.700442
2017-11-22,8091.09,8202.81,8091.09,8195,111.42384
2017-11-23,8233.03,8258.65,8138.43,8208,131.571359
2017-11-24,8019.97,8070,7950,7981.38,119.817965
2017-11-25,8138.99,8205.62,8116.03,8130.89,135.579208
2017-11-26,8700.04,8750,8656,8739.94,136.629364
2017-11-27,9128,9540.26,9112.04,9499.99,162.672966
2017-11-28,9650,9700,9628.08,9674.13,136.631803
2017-11-29,9896.79,9927.99,9873.68,9918.02,166.859326
2017-11-30,9687.88,9999.98,9532.88,9930.38,639.992187
2017-12-01,9837,9900.03,9600,9685,275.973987
2017-12-02,10775.04,10957,10751,10900,243.69852
