Date,B,A,ratio,Price,Open,High,Low,Vol.,Change %,kimchi_premium
2017-09-26,4369000,3928.0,1112.2708757637474,"1,137.62",1134.8,"1,140.68","1,134.66",,0.25%,-0.019852946982950814
2017-09-27,4432000,3882.36,1141.5736819872448,"1,145.76",1137.62,"1,146.06","1,137.12",,0.72%,0.003475397749024056
2017-09-28,4737000,4192.11,1129.9798907948505,"1,146.58",1145.75,"1,151.65","1,142.80",,0.07%,-0.013764005415797143
2017-09-29,4610000,4178.98,1103.14000067002,"1,145.30",1146.59,"1,147.81","1,141.77",,-0.11%,-0.03789497495179606
2017-10-02,5076000,4400.0,1153.6363636363635,"1,146.62",1145.13,"1,148.56","1,144.31",,0.12%,0.0074282951598187985
2017-10-03,4975000,4380.0,1135.8447488584477,"1,143.24",1146.61,"1,149.88","1,141.05",,-0.29%,-0.009388764393780114
2017-10-04,4952000,4314.9,1147.6511622517326,"1,142.99",1143.24,"1,143.91","1,138.35",,-0.02%,0.0038584743813481204
2017-10-06,5015000,4318.99,1161.1511024568244,"1,145.32",1142.41,"1,145.85","1,141.38",,0.25%,0.01640488306021859
2017-10-09,5266000,4640.0,1134.9137931034484,"1,143.82",1145.51,"1,146.11","1,142.36",,-0.13%,-0.0092502089868719
2017-10-10,5518000,4786.95,1152.717283447707,"1,135.31",1143.81,"1,144.01","1,131.57",,-0.74%,0.00778738028842807
2017-10-11,5562000,4783.06,1162.853905240578,"1,132.91",1135.21,"1,138.50","1,130.89",,-0.21%,0.024351358110462185
2017-10-12,5853000,4821.43,1213.955195865127,"1,132.89",1132.91,"1,137.31","1,130.54",,0.00%,0.07153718818363952
2017-10-13,6523000,5439.99,1199.0830865497917,"1,126.67",1132.89,"1,134.60","1,124.84",,-0.55%,0.05842852046517444
2017-10-16,6344000,5710.0,1111.0332749562172,"1,128.28",1127.0,"1,130.25","1,125.80",,0.14%,-0.014167457891555268
2017-10-17,6425000,5760.0,1115.451388888889,"1,131.21",1128.28,"1,133.80","1,127.86",,0.26%,-0.011370059835423052
2017-10-18,6141000,5595.0,1097.5871313672922,"1,132.88",1131.21,"1,133.91","1,129.28",,0.15%,-0.029722923800804324
2017-10-19,6460000,5513.0,1171.775802648286,"1,129.01",1132.87,"1,134.80","1,128.37",,-0.34%,0.03434268949507535
2017-10-20,6450000,5683.31,1134.9020201255958,"1,132.31",1129.01,"1,134.50","1,128.45",,0.29%,0.005218749280870627
2017-10-23,6796000,5975.0,1137.4058577405858,"1,130.86",1132.19,"1,135.70","1,129.10",,-0.13%,0.004606874942002515
2017-10-24,6621000,5909.47,1120.40504478405,"1,130.93",1130.85,"1,131.73","1,127.30",,0.01%,-0.009236375483883674
2017-10-25,6500000,5506.92,1180.3331081620945,"1,127.81",1130.93,"1,131.50","1,122.81",,-0.28%,0.043683612745346156
2017-10-26,6619000,5670.1,1167.3515458281158,"1,128.75",1127.81,"1,129.49","1,121.92",,0.08%,0.03506046747955405
2017-10-27,6821000,5861.77,1163.6416986678084,"1,125.97",1128.76,"1,132.70","1,125.19",,-0.25%,0.030902670778383712
2017-10-30,6964000,6133.01,1135.4946429241106,"1,124.78",1125.98,"1,127.60","1,123.56",,-0.11%,0.008450099401508648
2017-10-31,6996000,6120.52,1143.0401338448366,"1,118.42",1124.78,"1,125.15","1,116.02",,-0.57%,0.0162344048123515
2017-11-01,7332000,6463.0,1134.457682190933,"1,111.52",1118.42,"1,119.90","1,109.35",,-0.62%,0.01433958816091696
2017-11-02,8179000,6753.98,1210.9896683140903,"1,112.35",1111.51,"1,115.50","1,110.21",,0.07%,0.08949957113664331
2017-11-03,8350000,7010.31,1191.102818562945,"1,116.29",1112.35,"1,117.83","1,110.90",,0.35%,0.07079859627180762
2017-11-06,8420000,7345.1,1146.3424595989163,"1,112.84",1115.9,"1,119.81","1,110.94",,-0.31%,0.027280634106027657
2017-11-07,8283000,6981.72,1186.3838710231862,"1,113.93",1112.83,"1,116.45","1,110.78",,0.10%,0.06609623304834189
2017-11-08,8356000,7070.0,1181.8953323903818,"1,114.31",1113.93,"1,116.60","1,112.08",,0.03%,0.061014006616557426
2017-11-09,8209000,7303.01,1124.0570668806424,"1,118.36",1114.23,"1,121.23","1,112.69",,0.36%,0.00881960356537026
2017-11-10,8115000,7079.0,1146.348354287329,"1,120.96",1119.12,"1,121.63","1,115.89",,0.23%,0.024330147157882065
2017-11-13,7307000,5839.94,1251.211485049504,"1,119.89",1119.6,"1,122.80","1,118.81",,-0.10%,0.11755223745043253
2017-11-14,7499000,6465.99,1159.7605316432596,"1,115.52",1119.89,"1,121.51","1,114.03",,-0.39%,0.03560218561042561
