datetime,memo
2011-10-03,New Currency Launched
2011-12-01,Almost No News
2012-03-01,New Currency Launched
2012-08-01,New Currency Launched
2013-01-01,New Currency Launched
2013-06-01,New Currency Launched
2013-10-01,Dark Web FBI Shut Down
2013-10-20,Silkroad Bitcoin Burned
2013-12-15,China Bitcoin Negative
2014-02-20,Mt.Gox Hacking
2014-07-10,Mt.Gox Hacking
2014-11-10,Mt.Gox Hacking
2015-03-10,Mt.Gox Hacking
2015-09-25,Bitcoin is Now Commodity
2016-05-20,Brexit
2016-07-30,Bitfinex Hacking
2016-10-28,Bitcoin ETF Submit
2017-09-11,"JPMorgan ""Bitcoin is Scam"""
2017-10-24,Upbit Exchange Open
2017-11-11,Kimchi Premium
2018-01-16,Bubble Pop
2018-06-06,Bubble Pop
2018-10-06,Bubble Pop
2019-03-30,April's Fool
2020-02-19,Covid19
2020-03-26,Interest Rate Reduction
2020-09-26,Interest Rate Reduction
2021-03-26,Interest Rate Reduction
2021-11-19,Bubble Popped
2022-05-03,Luna Crash
2022-06-06,Interest Rate Increase
2022-11-05,FTX Exchange Crash
2023-10-24,Bitcoin ETF
