datetime,symbol,open,high,low,close,volume
2011-09-05,BITSTAMP:BTCUSD,8,8.5,7.4,7.4,30.86
2011-09-12,BITSTAMP:BTCUSD,5.8,6,4.8,4.92,359.684968
2011-09-19,BITSTAMP:BTCUSD,4.9,6.05,4.9,6.05,294.1755586
2011-09-26,BITSTAMP:BTCUSD,6.06,6.06,4.8,4.82,193.9507891
2011-10-03,BITSTAMP:BTCUSD,4.85,6.25,3.89,3.89,619.3011218
2011-10-10,BITSTAMP:BTCUSD,3.99,4.51,3.93,4.05,496.7028037
2011-10-17,BITSTAMP:BTCUSD,3.92,3.92,2.22,2.27,113.6756727
2011-10-24,BITSTAMP:BTCUSD,2.99,4.4,2.66,3.5,786.299989
2011-10-31,BITSTAMP:BTCUSD,3.25,3.55,2.95,2.95,531.7522024
2011-11-07,BITSTAMP:BTCUSD,3.08,3.35,2.95,3.35,325.7139694
2011-11-14,BITSTAMP:BTCUSD,2.95,3,2.37,2.37,451.6890308
2011-11-21,BITSTAMP:BTCUSD,2.45,15,2.25,2.77,818.0422493
2011-11-28,BITSTAMP:BTCUSD,2.67,3.48,2.66,2.93,623.4080565
2011-12-05,BITSTAMP:BTCUSD,2.82,3.5,2.82,3.27,942.4627517
2011-12-12,BITSTAMP:BTCUSD,3.37,3.6,3.25,3.5,437.132148
2011-12-19,BITSTAMP:BTCUSD,3.5,4.75,3.5,4.27,459.8122327
2011-12-26,BITSTAMP:BTCUSD,4.27,5,4.21,5,360.581479
2012-01-02,BITSTAMP:BTCUSD,5,7,4.93,7,348.2989751
2012-01-09,BITSTAMP:BTCUSD,6.99,7.38,6.23,7.15,399.3253145
2012-01-16,BITSTAMP:BTCUSD,6.2,7.1,5.52,6.79,731.8367762
2012-01-23,BITSTAMP:BTCUSD,6.5,6.86,3.8,5.5,393.1940368
2012-01-30,BITSTAMP:BTCUSD,5.3,6.5,3.8,5.6,659.7609409
2012-02-06,BITSTAMP:BTCUSD,5.6,5.9,5.2,5.67,605.4123901
2012-02-13,BITSTAMP:BTCUSD,5.53,5.8,4.14,4.38,1003.286546
2012-02-20,BITSTAMP:BTCUSD,4.72,5.22,4.3,4.98,1662.84575
2012-02-27,BITSTAMP:BTCUSD,4.97,5.1,4.6,4.81,1768.196571
2012-03-05,BITSTAMP:BTCUSD,4.8,5.09,4.77,5,1931.061527
2012-03-12,BITSTAMP:BTCUSD,4.85,5.44,4.85,5.25,3320.561543
2012-03-19,BITSTAMP:BTCUSD,5.24,5.37,4.54,4.54,1700.831564
2012-03-26,BITSTAMP:BTCUSD,4.6,4.97,4.54,4.89,1591.676465
2012-04-02,BITSTAMP:BTCUSD,4.8,5.04,4.69,4.76,2971.013345
2012-04-09,BITSTAMP:BTCUSD,4.7,5.01,4.7,4.99,3417.665116
2012-04-16,BITSTAMP:BTCUSD,4.93,5.43,4.93,5.17,2986.454493
2012-04-23,BITSTAMP:BTCUSD,5.2,5.25,4.81,4.91,6305.55444
2012-04-30,BITSTAMP:BTCUSD,4.92,5.15,4.86,5.08,4888.391414
2012-05-07,BITSTAMP:BTCUSD,5.05,5.08,4.87,4.94,3801.056734
2012-05-14,BITSTAMP:BTCUSD,4.93,5.08,4.88,5.03,3215.903507
2012-05-21,BITSTAMP:BTCUSD,5.04,5.12,5,5.07,4072.162541
2012-05-28,BITSTAMP:BTCUSD,5.08,5.24,4.95,5.19,4053.673683
2012-06-04,BITSTAMP:BTCUSD,5.18,5.63,5.14,5.42,6494.091009
2012-06-11,BITSTAMP:BTCUSD,5.48,6.52,5.4,6.19,18400.56338
2012-06-18,BITSTAMP:BTCUSD,6.13,6.69,5.98,6.4,9128.449153
2012-06-25,BITSTAMP:BTCUSD,6.35,6.68,5.99,6.52,29015.80646
2012-07-02,BITSTAMP:BTCUSD,6.55,6.8,6.36,6.73,11051.7532
2012-07-09,BITSTAMP:BTCUSD,6.77,7.69,6.55,7.57,8568.651906
2012-07-16,BITSTAMP:BTCUSD,7.57,9.2,7.14,8.42,17708.52085
2012-07-23,BITSTAMP:BTCUSD,8.42,9,8.1,8.71,9294.691897
2012-07-30,BITSTAMP:BTCUSD,8.7,12,8.54,10.71,13338.89831
2012-08-06,BITSTAMP:BTCUSD,10.71,12.49,10.43,11.49,12039.89164
2012-08-13,BITSTAMP:BTCUSD,11.42,16.41,7.1,8.06,21354.0536
2012-08-20,BITSTAMP:BTCUSD,8.09,10.71,7.86,10.31,23835.23332
2012-08-27,BITSTAMP:BTCUSD,10.31,11.93,9.49,10.18,18457.40289
2012-09-03,BITSTAMP:BTCUSD,10.17,11.15,9.95,10.98,12905.95631
2012-09-10,BITSTAMP:BTCUSD,10.85,11.8,10.38,11.75,15850.18736
2012-09-17,BITSTAMP:BTCUSD,11.75,12.66,11.58,11.99,10337.37596
2012-09-24,BITSTAMP:BTCUSD,11.99,12.38,11.53,12.22,14524.89115
2012-10-01,BITSTAMP:BTCUSD,12.21,12.99,11.5,11.71,26309.51219
2012-10-08,BITSTAMP:BTCUSD,11.7,12.26,10.42,11.79,11098.0259
2012-10-15,BITSTAMP:BTCUSD,11.78,11.97,11.03,11.32,21631.21934
2012-10-22,BITSTAMP:BTCUSD,11.54,11.7,9.5,10.54,16234.38897
