candle_date_time_utc,opening_price,high_price,low_price,trade_price,candle_acc_trade_volume
2017-09-26,4369000,4372000,4351000,4363000,0.448384
2017-09-27,4432000,4447000,4427000,4442000,0.3951009
2017-09-28,4737000,4770000,4723000,4766000,2.15526104
2017-09-29,4610000,4631000,4608000,4613000,3.005066
2017-09-30,4754000,4759000,4725000,4743000,1.1617153
2017-10-01,4875000,4885000,4869000,4879000,1.01399078
2017-10-02,5076000,5095000,5058000,5082000,0.50823345
2017-10-03,4975000,4975000,4920000,4928000,0.48134888
2017-10-04,4952000,4952000,4877000,4928000,0.073397
2017-10-06,5015000,5026000,4975000,4978000,0.073216
2017-10-07,5007000,5010000,4957000,5004000,0.127977
2017-10-08,5031000,5068000,5031000,5035000,0.268632
2017-10-09,5266000,5290000,5223000,5241000,0.413219
2017-10-10,5518000,5560000,5504000,5507000,0.351216
2017-10-11,5562000,5572000,5510000,5570000,0.128045
2017-10-12,5853000,5963000,5828000,5941000,0.19890613
2017-10-13,6523000,6619000,6523000,6606000,0.13571857
2017-10-14,6439000,6442000,6380000,6426000,0.123638
2017-10-15,6380000,6397000,6380000,6397000,0.05668004
2017-10-16,6344000,6428000,6327000,6428000,0.2295936
2017-10-17,6425000,6473000,6360000,6428000,0.05141984
2017-10-18,6141000,6239000,5908000,6180000,3.21491612
2017-10-19,6460000,6570000,6370000,6472000,0.05464109
2017-10-20,6450000,6542000,6401000,6493000,0.7025888
2017-10-21,6977000,7034000,6928000,6967000,0.048111
2017-10-22,6935000,6978000,6770000,6866000,0.062527
2017-10-23,6796000,6899000,6779000,6779000,0.10200622
2017-10-24,6621000,6659000,6535000,6535000,0.54664696
2017-10-25,6500000,6567000,6500000,6524000,1.20005028
2017-10-26,6619000,6649000,6615000,6630000,6.70927425
2017-10-27,6821000,6856000,6782000,6831000,14.00741181
2017-10-28,6690000,6713000,6673000,6704000,24.79369711
2017-10-29,6669000,6669000,6621000,6664000,13.49298414
2017-10-30,6964000,6964000,6917000,6955000,14.43332402
2017-10-31,6996000,7016000,6992000,7012000,42.25417761
2017-11-01,7332000,7433000,7331000,7412000,56.03405347
2017-11-02,8179000,8250000,8118000,8197000,101.9376416
2017-11-03,8350000,8415000,8140000,8320000,73.01691027
2017-11-04,8110000,8145000,8099000,8129000,17.2591629
2017-11-05,8360000,8400000,8360000,8369000,38.04524344
2017-11-06,8420000,8422000,8360000,8415000,81.77249498
2017-11-07,8283000,8413000,8232000,8239000,71.03052537
2017-11-08,8356000,8361000,8305000,8334000,62.78813724
2017-11-09,8209000,8250000,8151000,8236000,146.1352561
2017-11-10,8115000,8120000,8000000,8009000,151.6908525
2017-11-11,7723000,7724000,7650000,7653000,106.8536354
2017-11-12,7400000,7513000,7059000,7376000,336.3277685
2017-11-13,7307000,7447000,7270000,7371000,172.4290549
2017-11-14,7499000,7570000,7495000,7568000,221.1263123
2017-11-15,7840000,7900000,7838000,7844000,265.3935715
2017-11-16,8468000,8508000,8447000,8499000,378.5316962
2017-11-17,8595000,8725000,8557000,8632000,300.7533024
2017-11-18,8600000,8644000,8571000,8628000,327.4064722
2017-11-19,8532000,8594000,8530000,8565000,210.5570365
2017-11-20,8782000,8798000,8751000,8784000,472.478334
2017-11-21,9027000,9089000,8931000,8992000,806.0284193
2017-11-22,9125000,9150000,9087000,9092000,539.1715183
2017-11-23,9045000,9055000,8991000,9030000,644.7105573
2017-11-24,9380000,9401000,7182000,9127000,2037.420437
2017-11-25,9360000,9480000,9305000,9400000,642.3759011
2017-11-26,9998000,10060000,9910000,10013000,1862.154683
2017-11-27,11127000,11159000,10500000,10897000,2372.342913
2017-11-28,11437000,11539000,11401000,11479000,706.9811403
2017-11-29,12805000,12995000,12650000,12928000,1002.868299
2017-11-30,11855000,12550000,10891000,11707000,853.9909723
2017-12-01,11542000,11810000,11509000,11792000,1212.162563
2017-12-02,12931000,13098000,12931000,13085000,1145.378607
2017-12-03,12952000,12987000,12910000,12920000,633.6797156
2017-12-04,13508000,13520000,13450000,13465000,890.514031
2017-12-05,14001000,14045000,13952000,13980000,938.0629376
2017-12-06,15623000,15900000,15557000,15890000,2107.695638
2017-12-07,19477000,19750000,19346000,19712000,1594.457655
2017-12-08,20821000,21378000,17520000,20070000,9094.043421
2017-12-09,18448000,18699000,17794000,18049000,2339.966647
2017-12-10,15060000,15815000,14956000,15497000,2963.393524
2017-12-11,18950000,19099000,18720000,19022000,1959.691365
2017-12-12,19402000,19549000,19402000,19482000,933.6195978
2017-12-13,18656000,18670000,18500000,18650000,1120.33882
2017-12-14,18616000,18723000,18331000,18432000,1382.714761
2017-12-15,20023000,20888000,20020000,20700000,2920.521113
2017-12-16,20470000,20510000,20340000,20497000,1201.98079
2017-12-17,22240000,22560000,21900000,22403000,1752.204336
2017-12-18,21912000,21930000,21400000,21721000,1939.382178
2017-12-19,22709000,23130000,22501000,22779000,2025.115783
2017-12-20,21842000,21890000,21578000,21697000,1057.703921
2017-12-21,22778000,23227000,22695000,22910000,1381.413667
2017-12-22,19210000,19899000,18440000,19110000,3554.598362
2017-12-23,19214000,19420000,18790000,19420000,1674.121181
2017-12-24,20019000,20050000,19501000,19650000,1676.054725
2017-12-25,19727000,19815000,19230000,19334000,2351.568453
2017-12-26,20873000,21330000,20751000,21320000,2432.402382
2017-12-27,22055000,22110000,21711000,21942000,1927.366939
2017-12-28,19769000,19900000,19601000,19660000,1332.82667
2017-12-29,18843000,18973000,18720000,18792000,1688.83469
2017-12-30,18670000,18950000,18622000,18934000,2356.921374
2017-12-31,18377000,18482000,18301000,18455000,819.1038324
2018-01-01,19007000,19140000,19005000,19131000,808.9206457
2018-01-02,18877000,19100000,18840000,18918000,1546.826089
2018-01-03,20859000,21329000,20770000,21300000,2544.19716
2018-01-04,21375000,21380000,19700000,20900000,2467.810793
2018-01-05,23821000,25450000,23820000,24713000,5169.321048
2018-01-06,25335000,25570000,24300000,24645000,1946.793555
2018-01-07,26298000,26398000,26127000,26340000,1044.284077
2018-01-08,25565000,25754000,24856000,24868000,2663.213076
2018-01-09,24230000,24234000,23185000,23185000,2541.713928
2018-01-10,21134000,22880000,20901000,22094000,3191.683011
2018-01-11,19538000,20250000,19143000,19695000,2207.48686
2018-01-12,19338000,19602000,19100000,19447000,1423.162224
2018-01-13,21122000,21129000,20700000,20984000,1197.782497
