candle_date_time_utc,opening_price,high_price,low_price,trade_price,candle_acc_trade_volume
2017-09-26 0:00,4317000,4336000,4314000,4334000,0.18235706
2017-09-26 1:00,4334000,4356000,4327000,4337000,0.83865175
2017-09-26 2:00,4342000,4382000,4342000,4379000,1.27543103
2017-09-26 3:00,4380000,4380000,4330000,4333000,1.1601994
2017-09-26 4:00,4333000,4351000,4321000,4346000,0.69295482
2017-09-26 5:00,4346000,4352000,4311000,4324000,0.82998661
2017-09-26 6:00,4318000,4349000,4318000,4345000,0.42937077
2017-09-26 7:00,4345000,4369000,4333000,4367000,0.28476741
2017-09-26 8:00,4366000,4371000,4345000,4369000,0.46023178
2017-09-26 9:00,4369000,4372000,4351000,4363000,0.448384
2017-09-26 10:00,4367000,4392000,4361000,4389000,1.18298589
2017-09-26 11:00,4380000,4400000,4380000,4396000,1.22815308
2017-09-26 12:00,4397000,4418000,4376000,4389000,2.73305491
2017-09-26 13:00,4385000,4400000,4319000,4373000,1.40132314
2017-09-26 14:00,4377000,4388000,4370000,4380000,1.60088533
2017-09-26 15:00,4377000,4382000,4357000,4371000,1.51807848
2017-09-26 16:00,4361000,4379000,4348000,4362000,0.82914297
2017-09-26 17:00,4363000,4379000,4357000,4377000,0.32822348
2017-09-26 18:00,4373000,4376000,4355000,4370000,0.39276583
2017-09-26 19:00,4364000,4381000,4359000,4366000,0.73584535
2017-09-26 20:00,4367000,4376000,4346000,4358000,0.31739472
2017-09-26 21:00,4362000,4390000,4360000,4377000,1.88264703
2017-09-26 22:00,4377000,4377000,4354000,4356000,0.7372548
2017-09-26 23:00,4356000,4360000,4321000,4321000,1.29825005
2017-09-27 0:00,4322000,4363000,4318000,4351000,1.73214446
2017-09-27 1:00,4351000,4366000,4348000,4350000,0.27852475
2017-09-27 2:00,4348000,4362000,4344000,4355000,0.695789
2017-09-27 3:00,4361000,4396000,4353000,4395000,1.73488033
2017-09-27 4:00,4395000,4406000,4388000,4391000,1.01539646
2017-09-27 5:00,4394000,4408000,4392000,4404000,0.88580346
2017-09-27 6:00,4408000,4421000,4358000,4409000,2.58917845
2017-09-27 7:00,4411000,4448000,4411000,4435000,1.62478824
2017-09-27 8:00,4437000,4437000,4415000,4426000,0.3972757
2017-09-27 9:00,4432000,4447000,4427000,4442000,0.3951009
2017-09-27 10:00,4450000,4503000,4443000,4503000,3.32505796
2017-09-27 11:00,4497000,4536000,4495000,4508000,1.53258023
2017-09-27 12:00,4509000,4532000,4498000,4518000,0.32168963
2017-09-27 13:00,4514000,4514000,4478000,4484000,0.4513153
2017-09-27 14:00,4491000,4531000,4485000,4527000,1.37686384
2017-09-27 15:00,4527000,4532000,4495000,4503000,0.26756429
2017-09-27 16:00,4505000,4531000,4495000,4521000,0.54794644
2017-09-27 17:00,4514000,4527000,4514000,4515000,0.8647368
2017-09-27 18:00,4519000,4570000,4515000,4570000,2.92791139
2017-09-27 19:00,4564000,4585000,4555000,4582000,1.04642572
2017-09-27 20:00,4576000,4578000,4547000,4547000,1.2135257
2017-09-27 21:00,4546000,4597000,4515000,4596000,3.26213868
2017-09-27 22:00,4591000,4598000,4579000,4596000,1.62677192
2017-09-27 23:00,4596000,4677000,4596000,4657000,2.15625205
2017-09-28 0:00,4657000,4664000,4610000,4626000,1.09155306
2017-09-28 1:00,4626000,4635000,4610000,4615000,0.56554426
2017-09-28 2:00,4620000,4642000,4615000,4635000,0.36138454
2017-09-28 3:00,4632000,4752000,4627000,4744000,3.71134608
2017-09-28 4:00,4740000,4762000,4702000,4753000,3.84236922
2017-09-28 5:00,4760000,4765000,4734000,4734000,1.13047755
2017-09-28 6:00,4728000,4752000,4726000,4750000,1.0754542
2017-09-28 7:00,4755000,4772000,4721000,4729000,2.18339263
2017-09-28 8:00,4729000,4750000,4721000,4737000,1.18163119
2017-09-28 9:00,4737000,4770000,4723000,4766000,2.15526104
2017-09-28 10:00,4764000,4764000,4519000,4590000,15.58084142
2017-09-28 11:00,4600000,4661000,4577000,4632000,11.31648855
2017-09-28 12:00,4632000,4672000,4596000,4654000,2.26001108
2017-09-28 13:00,4659000,4674000,4629000,4635000,0.83415706
2017-09-28 14:00,4639000,4645000,4551000,4560000,5.34607738
2017-09-28 15:00,4560000,4573000,4520000,4560000,3.84981385
2017-09-28 16:00,4558000,4596000,4546000,4585000,3.45135578
2017-09-28 17:00,4590000,4635000,4585000,4604000,3.6169048
2017-09-28 18:00,4609000,4610000,4581000,4587000,1.71507468
2017-09-28 19:00,4587000,4590000,4550000,4550000,4.35417487
2017-09-28 20:00,4550000,4591000,4540000,4582000,5.82173773
2017-09-28 21:00,4581000,4622000,4580000,4612000,2.79029914
2017-09-28 22:00,4610000,4625000,4600000,4613000,0.68298817
2017-09-28 23:00,4608000,4613000,4580000,4586000,1.66990512
2017-09-29 0:00,4586000,4632000,4586000,4628000,1.24794222
2017-09-29 1:00,4629000,4634000,4544000,4544000,1.31536421
2017-09-29 2:00,4548000,4548000,4498000,4531000,8.40672194
2017-09-29 3:00,4530000,4569000,4476000,4541000,10.78351859
2017-09-29 4:00,4541000,4553000,4521000,4544000,6.77174979
2017-09-29 5:00,4544000,4547000,4525000,4539000,0.9425606
2017-09-29 6:00,4541000,4573000,4538000,4563000,1.87103312
2017-09-29 7:00,4563000,4604000,4563000,4604000,1.12814731
2017-09-29 8:00,4604000,4610000,4596000,4610000,0.58613021
2017-09-29 9:00,4610000,4631000,4608000,4613000,3.005066
2017-09-29 10:00,4618000,4657000,4589000,4657000,2.69034973
2017-09-29 11:00,4663000,4709000,4644000,4684000,5.68600118
2017-09-29 12:00,4684000,4702000,4667000,4690000,5.51409751
2017-09-29 13:00,4690000,4690000,4651000,4673000,0.33346661
2017-09-29 14:00,4677000,4689000,4660000,4669000,1.0035483
2017-09-29 15:00,4670000,4676000,4651000,4656000,0.71901726
2017-09-29 16:00,4656000,4686000,4656000,4679000,0.6338392
2017-09-29 17:00,4678000,4682000,4547000,4656000,2.67996786
2017-09-29 18:00,4657000,4669000,4643000,4658000,1.53210485
2017-09-29 19:00,4655000,4666000,4647000,4666000,0.15333178
2017-09-29 20:00,4666000,4680000,4659000,4675000,0.91430963
2017-09-29 21:00,4679000,4686000,4671000,4679000,0.1808185
2017-09-29 22:00,4679000,4684000,4640000,4640000,0.32012349
2017-09-29 23:00,4638000,4664000,4631000,4657000,0.93316357
2017-09-30 0:00,4657000,4676000,4651000,4676000,0.15447308
2017-09-30 1:00,4672000,4705000,4672000,4700000,1.05103368
2017-09-30 2:00,4701000,4705000,4685000,4703000,0.71277503
2017-09-30 3:00,4706000,4710000,4694000,4695000,0.644054
2017-09-30 4:00,4694000,4716000,4693000,4711000,0.27113241
2017-09-30 5:00,4711000,4747000,4711000,4738000,1.05419312
2017-09-30 6:00,4736000,4762000,4731000,4762000,0.45651482
2017-09-30 7:00,4764000,4776000,4747000,4776000,0.2092876
2017-09-30 8:00,4774000,4778000,4746000,4749000,0.92767002
2017-09-30 9:00,4754000,4759000,4725000,4743000,1.1617153
2017-09-30 10:00,4743000,4767000,4734000,4752000,1.08686984
2017-09-30 11:00,4750000,4761000,4741000,4744000,0.83512946
2017-09-30 12:00,4749000,4756000,4741000,4753000,0.172104
2017-09-30 13:00,4753000,4774000,4753000,4773000,0.5042673
2017-09-30 14:00,4770000,4788000,4757000,4788000,0.76915738
2017-09-30 15:00,4788000,4815000,4783000,4804000,0.42313438
2017-09-30 16:00,4803000,4845000,4779000,4790000,2.07525152
2017-09-30 17:00,4789000,4809000,4780000,4790000,1.17042524
2017-09-30 18:00,4792000,4815000,4777000,4806000,1.09072528
2017-09-30 19:00,4806000,4830000,4801000,4830000,0.50359164
2017-09-30 20:00,4826000,4851000,4826000,4843000,0.90767748
2017-09-30 21:00,4847000,4859000,4839000,4852000,0.69555641
2017-09-30 22:00,4850000,4863000,4839000,4863000,2.125284
2017-09-30 23:00,4863000,4896000,4863000,4895000,0.99646033
2017-10-01 0:00,4889000,4948000,4887000,4914000,0.70756249
2017-10-01 1:00,4905000,4919000,4857000,4919000,4.50926112
2017-10-01 2:00,4919000,4922000,4839000,4839000,0.69751233
2017-10-01 3:00,4832000,4862000,4819000,4858000,3.10170376
2017-10-01 4:00,4864000,4871000,4851000,4857000,1.5986884
