Date,B,A,ratio
2017-09-26,4369000,3928.0,1112.2708757637474
2017-09-27,4432000,3882.36,1141.5736819872448
2017-09-28,4737000,4192.11,1129.9798907948505
2017-09-29,4610000,4178.98,1103.14000067002
2017-09-30,4754000,4175.0,1138.682634730539
2017-10-01,4875000,4378.49,1113.3975411614506
2017-10-02,5076000,4400.0,1153.6363636363637
2017-10-03,4975000,4380.0,1135.8447488584475
2017-10-04,4952000,4314.9,1147.6511622517326
2017-10-06,5015000,4318.99,1161.1511024568244
2017-10-07,5007000,4369.0,1146.0288395513849
2017-10-08,5031000,4425.0,1136.949152542373
2017-10-09,5266000,4640.0,1134.9137931034484
2017-10-10,5518000,4786.95,1152.717283447707
2017-10-11,5562000,4783.06,1162.8539052405781
2017-10-12,5853000,4821.43,1213.955195865127
2017-10-13,6523000,5439.99,1199.0830865497915
2017-10-14,6439000,5650.0,1139.646017699115
2017-10-15,6380000,5855.03,1089.6613680886348
2017-10-16,6344000,5710.0,1111.0332749562172
2017-10-17,6425000,5760.0,1115.451388888889
2017-10-18,6141000,5595.0,1097.5871313672922
2017-10-19,6460000,5513.0,1171.775802648286
2017-10-20,6450000,5683.31,1134.9020201255958
2017-10-21,6977000,6013.72,1160.1803875138849
2017-10-22,6935000,6003.27,1155.2037472910597
2017-10-23,6796000,5975.0,1137.4058577405858
2017-10-24,6621000,5909.47,1120.40504478405
2017-10-25,6500000,5506.92,1180.3331081620943
2017-10-26,6619000,5670.1,1167.3515458281158
2017-10-27,6821000,5861.77,1163.6416986678084
2017-10-28,6690000,5768.79,1159.688600209056
2017-10-29,6669000,5709.98,1167.9550541332894
2017-10-30,6964000,6133.01,1135.4946429241106
2017-10-31,6996000,6120.52,1143.0401338448366
2017-11-01,7332000,6463.0,1134.457682190933
2017-11-02,8179000,6753.98,1210.9896683140905
2017-11-03,8350000,7010.31,1191.102818562945
2017-11-04,8110000,7115.02,1139.8421929945382
2017-11-05,8360000,7357.27,1136.2910427373197
2017-11-06,8420000,7345.1,1146.3424595989163
2017-11-07,8283000,6981.72,1186.3838710231862
2017-11-08,8356000,7070.0,1181.8953323903818
2017-11-09,8209000,7303.01,1124.0570668806424
2017-11-10,8115000,7079.0,1146.3483542873287
2017-11-11,7723000,6503.0,1187.6057204367214
2017-11-12,7400000,6245.05,1184.9384712692452
